שם חברה                                 ,תאור של ארגון רכש                       ,שם אתר                                  ,תקנה תקציבית                            ,תיאור תקנה תקציבית                      ,הזמנת רכש                               ,מטרת התקשרות                            ,תאריך יצירת ההזמנה                      ,סיום תקופת תוקף                         ,קוד ספק                                 ,שם הספק                                 ,"ערך ההזמנה כולל מע""מ                    ",מטבע                                    ,"ביצוע חשבוניות במטבע מקומי כולל מע""מ והצ",אופן רכישה                              ,"מס' פנייה במנו""ף/מנור""                  ",סיבת פטור                               ,הזמנה רגישה
הנהלת בתי משפט           ,הנהלת בתי משפט כללי ,הנהלת בתי המשפט               ,08540201,הוצאות תפעול        ,4501144755,תחמושת                                            ,16.12.2015,01.11.2016,40289933,"נשק הצפון ר. 2002 בע""מ             ",0.77,ILS  ,0,פטור ממכרז                                                  ,0,תקנה 3ג - מימוש זכות ברירה                                  ,לא
הנהלת בתי משפט           ,הנהלת בתי משפט כללי ,הנהלת בתי המשפט               ,08540201,הוצאות תפעול        ,4501067358,איסוף מיכלי טונרים וראשי דיו                      ,11.06.2015,          ,40001286,"אפיק מוצרי הדפסה בע""מ              ",1.17,ILS  ,0,פטור ממכרז                                                  ,0,תקנה 3(29) - ספק יחיד                                       ,לא
הנהלת בתי משפט           ,הנהלת בתי משפט כללי ,הנהלת בתי המשפט               ,08540201,הוצאות תפעול        ,4501012630,מכונות צילום לקהל בבתי משפט                       ,28.01.2015,31.12.2015,40005151,צילומעתיק בעמ                      ,1.17,ILS  ,0,פטור ממכרז                                                  ,0,תקנה 3ג - מימוש זכות ברירה                                  ,לא
הנהלת בתי משפט           ,הנהלת בתי משפט כללי ,הנהלת בתי המשפט               ,08540201,הוצאות תפעול        ,4501082386,ספר לאגף החשבות                                   ,20.07.2015,          ,40004564,"הוצאת רונן מיסים (1990) בע""מ       ",95.18,ILS  ,95.99,פטור ממכרז                                                  ,E                                       ,"תקנה 3(1) - התקשרות ששוויה אינה עולה על 50,000 ש""ח          ",לא
הנהלת בתי משפט           ,הנהלת בתי משפט כללי ,הנהלת בתי המשפט               ,08540201,הוצאות תפעול        ,4501031883,כיבוד לכנס בבית המשפט העליון                      ,08.03.2015,          ,40502039,"א.ס.א. קייטרינג ואירוח בע""מ        ",104.11,ILS  ,100.3,פטור ממכרז                                                  ,                                        ,"תקנה 3(1) - התקשרות ששוויה אינה עולה על 50,000 ש""ח          ",לא
הנהלת בתי משפט           ,הנהלת בתי משפט כללי ,הנהלת בתי המשפט               ,08540201,הוצאות תפעול        ,4501055843,"תשלום נוסף בתיק ע""ש רחל נוח                       ",12.05.2015,          ,40015543,"תיקל איסוף מסמכים בע""מ             ",105.1,ILS  ,106.2,פטור ממכרז                                                  ,                                        ,"תקנה 3(1) - התקשרות ששוויה אינה עולה על 50,000 ש""ח          ",לא
הנהלת בתי משפט           ,הנהלת בתי משפט כללי ,הנהלת בתי המשפט               ,08540203,הוצאות מחשוב        ,4501047849,רכישת כבלים                                       ,22.04.2015,          ,40328129,"ד.מ. (3000) הנדסה בע""מ             ",105.3,ILS  ,0,פטור ממכרז                                                  ,                                        ,"תקנה 3(1) - התקשרות ששוויה אינה עולה על 50,000 ש""ח          ",לא
הנהלת בתי משפט           ,הנהלת בתי משפט כללי ,הנהלת בתי המשפט               ,08540201,הוצאות תפעול        ,4501066706,כיבוד לישיבה                                      ,10.06.2015,          ,40509645,"סגול פרופשיונל בע""מ                ",149.32,ILS  ,143.97999999999999,תקנה 14ב - מכרז מרכזי                                       ,0,                                                            ,לא
הנהלת בתי משפט           ,הנהלת בתי משפט כללי ,הנהלת בתי המשפט               ,08540201,הוצאות תפעול        ,4501100432,כיבוד לישיבה                                      ,07.09.2015,          ,40509645,"סגול פרופשיונל בע""מ                ",170.22,ILS  ,0,תקנה 1ב - מכרז פומבי רגיל                                   ,0,                                                            ,לא
הנהלת בתי משפט           ,הנהלת בתי משפט כללי ,הנהלת בתי המשפט               ,08540201,הוצאות תפעול        ,4501039469,ביטוח יצירות במוזיאון                             ,26.03.2015,          ,40000043,"מוזיאון ישראל (חל""צ)               ",173.71,ILS  ,0,פטור ממכרז                                                  ,                                        ,"תקנה 3(1) - התקשרות ששוויה אינה עולה על 50,000 ש""ח          ",לא
הנהלת בתי משפט           ,הנהלת בתי משפט כללי ,הנהלת בתי המשפט               ,08540201,הוצאות תפעול        ,4501120997,ספרים לספריית בית משפט העליון                     ,05.11.2015,          ,40005276,המכון הישראלי לדמוקרטיה            ,185,ILS  ,134,פטור ממכרז                                                  ,X                                       ,"תקנה 3(1) - התקשרות ששוויה אינה עולה על 50,000 ש""ח          ",לא
הנהלת בתי משפט           ,הנהלת בתי משפט כללי ,הנהלת בתי המשפט               ,08540201,הוצאות תפעול        ,4501063692,הסעת שופטת                                        ,02.06.2015,31.07.2015,40228339,"בון תור בע""מ                       ",189.96,ILS  ,202.2,תקנה 14ב - מכרז מרכזי                                       ,537423,                                                            ,לא
הנהלת בתי משפט           ,הנהלת בתי משפט כללי ,הנהלת בתי המשפט               ,08540201,הוצאות תפעול        ,4501063697,הסעת שופטת                                        ,02.06.2015,31.07.2015,40010480,"מסיעי אריה שאשא בע""מ               ",195.65,ILS  ,197.64,תקנה 14ב - מכרז מרכזי                                       ,537423,                                                            ,לא
הנהלת בתי משפט           ,הנהלת בתי משפט כללי ,הנהלת בתי המשפט               ,08540201,הוצאות תפעול        ,4501114384,כיבודים                                           ,25.10.2015,          ,40198403,אטיאס שמואל                        ,207.47,ILS  ,207.46,פטור ממכרז                                                  ,0,"תקנה 3(1) - התקשרות ששוויה אינה עולה על 50,000 ש""ח          ",לא
