שם חברה,תאור של ארגון רכש,שם אתר,תקנה תקציבית,תיאור תקנה תקציבית,הזמנת רכש,מטרת התקשרות,תאריך יצירת ההזמנה,סיום תקופת תוקף,קוד ספק,שם הספק,"ערך ההזמנה כולל מע""מ",מטבע,"ביצוע חשבוניות במטבע מקומי כולל מע""מ והצ",אופן רכישה,"מס' פנייה במנו""ף/מנור""",סיבת פטור,הזמנה רגישה
משרד הכלכלה,"כלכלה מ. ת""א והמרכז","כלכלה מחוז ת""א והמרכז",36440504,מימון הסעות לתלמידים,4501003236,"הסעות יד ושם  תשע""ה  .",01-05-15,08-31-15,0040224713,"רשת עמל 1 בע""מ (חל""צ)",4800,ILS,3200,אחר,,,לא
משרד הכלכלה,כלכלה מטה,כלכלה מטה,36300201,תפעול המשרד,4501003403,"הזמנת נציג ציבור לועדת בוחנים מכרז כ""א",01-06-15,,0040310157,לוין אלכסנדר,1551.42,ILS,1560.26,מינוי חברים בועדות,,,לא
משרד הכלכלה,"כלכלה מ. ת""א והמרכז","כלכלה מחוז ת""א והמרכז",36440341,מרכזי הכשרה-תפעול,4501003445,הזמנה להסכם ניקיון ואחזקה שנתי למלטב חולון.,01-06-15,,0040001249,"א.א.א. אבירם בע""מ",525691.18000000005,ILS,491696.09,תקנה 14ב - מכרז מרכזי,528531,,לא
משרד הכלכלה,כלכלה מטה,כלכלה מטה,54110201,פעילות הרשות להגנת,4501003453,תשלום לנציג ציבור בגין השתתפות בועדה של מכרז פומבי,01-06-15,,0041003429,כהן משה,521.55999999999995,ILS,521.55999999999995,אחר,,,לא
משרד הכלכלה,כלכלה - חיפה והצפון,כלכלה מחוז חיפה והצפון,36440341,מרכזי הכשרה-תפעול,4501003526,שירותי נקיון למרכז כרמיאל,01-06-15,12-31-15,0040385875,"עובד - שרותי ניקיון בע""מ",326337.99,ILS,276994.83,אחר,,,לא
משרד הכלכלה,כלכלה מחוז ירושלים,כלכלה מחוז ירושלים,36440341,מרכזי הכשרה-תפעול,4501003539,ניקיון תל ארזה 2015,01-06-15,,0040001249,"א.א.א. אבירם בע""מ",712396.34,ILS,599125.99,אחר,,,לא
משרד הכלכלה,כלכלה - חיפה והצפון,כלכלה מחוז חיפה והצפון,36440341,מרכזי הכשרה-תפעול,4501003645,שירותי נקיון והחזקה למרכז הכשרה טמרה לשנת 2015,01-07-15,12-31-15,0040385875,"עובד - שרותי ניקיון בע""מ",293829.44,ILS,289845.34999999998,אחר,,,לא
משרד הכלכלה,"כלכלה מ. ת""א והמרכז","כלכלה מחוז ת""א והמרכז",36300201,תפעול המשרד,4501003891,שירותי ניקיון 1-12/15 בורסה ויח' המיכון,01-08-15,12-30-15,0040001249,"א.א.א. אבירם בע""מ",122488.91,ILS,117827.89,תקנה 14ב - מכרז מרכזי,528531,,לא
משרד הכלכלה,כלכלה מטה,כלכלה מטה,36300201,תפעול המשרד,4501004101,ועדה רפואית לעובדת המשרד,01-11-15,,0010000103,"לשכת הבריאות,מחוז ת""א",958,ILS,958,אחר,,,לא
משרד הכלכלה,כלכלה מטה,כלכלה מטה,36300201,תפעול המשרד,4501004167,"הזמנת נציג ציבור לועדת בוחנים מכרז כ""א",01-11-15,,0040543643,חוגא מנשה,1560.26,ILS,1560.26,אחר,,,לא
משרד הכלכלה,כלכלה מחוז ירושלים,כלכלה מחוז ירושלים,36440501,הכשרת נוער - מימון,4501004170,סגירת הזמנה,01-11-15,08-31-15,0040712845,"המכללה הארצית להכשרה מקצועית-מלכ""ר",1921338.54,ILS,1591482.97,אחר,,,לא
משרד הכלכלה,כלכלה מטה,כלכלה מטה,36300201,תפעול המשרד,4501004208,קבלת שרותי טלפוניה,01-11-15,10-11-15,0040468361,סלקום תקשורת קווית ש.מ.,47994.14,ILS,25755,תקנה 14ב - מכרז מרכזי,511332,,לא
משרד הכלכלה,כלכלה מטה,כלכלה מטה,36300201,תפעול המשרד,4501004230,אספקת שרותי טלפוניה,01-11-15,06-30-15,0040001406,"013 נטוויז'ן בע""מ",29999.14,ILS,16781.11,תקנה 14ב - מכרז מרכזי,אין מספר פנייה במנוף,,לא
